gene_id,nickname,accession,source,substrate,activity,peak_value,peak_timepoint_hours,min_value,min_timepoint_hours,flag,timepoint_count
AdCut,TragicAttitude,WP_058088494.1,GenBank,BHET12.5,,0.012642157016671263,120,,,peak_at_end,6
AdCut,TragicAttitude,WP_058088494.1,GenBank,BHET25,0.019490196165861562,0.011617647134698927,8,-0.007872549031162634,48,peak_at_start,6
AR00001,UnimportantConsist,AR241010_8,GRASP_241010,BHET12.5,,0.1203553918749094,120,,,peak_at_end,6
AR00001,UnimportantConsist,AR241010_8,GRASP_241010,BHET25,0.03094117483124137,0.15142156928777695,96,0.12048039445653558,120,single_degradation_point,6
AR00002,UntimelyInevitable,AR241010_11,GRASP_241010,BHET12.5,,0.05477450927719474,120,,,peak_at_end,6
AR00002,UntimelyInevitable,AR241010_11,GRASP_241010,BHET25,0.01583823375403881,0.10122549068182707,96,0.08538725692778826,120,single_degradation_point,6
AR00003,PleasingReference,AR241010_12,GRASP_241010,BHET12.5,,0.10251960903406143,120,,,peak_at_end,6
AR00003,PleasingReference,AR241010_12,GRASP_241010,BHET25,0.01679902244359255,0.17030637338757515,96,0.1535073509439826,120,single_degradation_point,6
AR00004,IllSale,AR241010_13,GRASP_241010,BHET12.5,,0.012872549063104088,120,,,peak_at_end,6
AR00004,IllSale,AR241010_13,GRASP_241010,BHET25,0.021764705830719322,0.008995098003651947,8,-0.012769607827067375,24,peak_at_start,6
AR00005,CompleteSurprise,AR241010_14,GRASP_241010,BHET12.5,0.014607843171688728,-0.00026470569719094783,24,-0.014872548868879676,96,,6
AR00005,CompleteSurprise,AR241010_14,GRASP_241010,BHET25,0.032122548946063034,0.007433823586325161,8,-0.024688725359737873,96,peak_at_start,6
AR00006,GreatOpening,AR241010_17,GRASP_241010,BHET12.5,,0.0307990200817585,120,,,peak_at_end,6
AR00006,GreatOpening,AR241010_17,GRASP_241010,BHET25,0.003102940305325319,0.024468136909490568,96,0.02136519660416525,120,single_degradation_point,6
AR00007,UnkemptConfusion,AR241010_33,GRASP_241010,BHET12.5,0.018009803956374526,-0.0005343137017916888,24,-0.018544117658166215,96,,6
AR00007,UnkemptConfusion,AR241010_33,GRASP_241010,BHET25,0.040174019581172615,0.010151960712391883,8,-0.030022058868780732,120,peak_at_start,6
AR00008,LightTeaching,AR241010_43,GRASP_241010,BHET12.5,0.019411764354117622,-0.002740196171544085,24,-0.022151960525661707,96,,6
AR00008,LightTeaching,AR241010_43,GRASP_241010,BHET25,0.04198284327867441,0.007468137395335361,8,-0.03451470588333905,120,peak_at_start,6
AR00009,KookyMirror,AR241010_56,GRASP_241010,BHET12.5,,0.03443137195426971,120,,,peak_at_end,6
AR00009,KookyMirror,AR241010_56,GRASP_241010,BHET25,,0.05595098150661215,120,,,peak_at_end,6
AR00010,DesertedContext,AR241010_73,GRASP_241010,BHET12.5,,0.02701470541069284,120,,,peak_at_end,6
AR00010,DesertedContext,AR241010_73,GRASP_241010,BHET25,,0.023529411846539006,120,,,peak_at_end,6
AR00011,Easy-goingElevator,AR241010_74,GRASP_241010,BHET12.5,,0.005509803973836824,120,,,peak_at_end,6
AR00011,Easy-goingElevator,AR241010_74,GRASP_241010,BHET25,0.03366666681540664,0.010529411665629596,8,-0.023137255149777047,120,peak_at_start,6
AR00012,UnfortunatePoem,AR241010_77,GRASP_241010,BHET12.5,,0.02366666667512618,120,,,peak_at_end,6
AR00012,UnfortunatePoem,AR241010_77,GRASP_241010,BHET25,0.010992647643433884,0.016762255370849743,96,0.00576960772741586,120,single_degradation_point,6
AR00013,LowCustomer,AR241010_86,GRASP_241010,BHET12.5,,0.008509803883498535,120,,,peak_at_end,6
AR00013,LowCustomer,AR241010_86,GRASP_241010,BHET25,0.026504901761654764,0.011539215629454702,8,-0.014965686132200062,120,peak_at_start,6
AR00014,PreciousThing,AR241010_100,GRASP_241010,BHET12.5,0.01166176469905622,0.0068627449800260365,72,-0.004799019719030184,96,single_degradation_point,6
AR00014,PreciousThing,AR241010_100,GRASP_241010,BHET25,0.004553921797196381,0.013759804001892917,96,0.009205882204696536,120,single_degradation_point,6
AR00015,SentimentalExercise,AR241010_106,GRASP_241010,BHET12.5,0.016818626652820967,0.003294117166660726,48,-0.013524509486160241,96,,6
AR00015,SentimentalExercise,AR241010_106,GRASP_241010,BHET25,0.003551469867488777,0.015973038607626222,72,0.012421568740137445,120,,6
AR00016,FortunateEffort,AR241010_134,GRASP_241010,BHET12.5,0.01972058799583465,0.00023039209190756083,24,-0.019490195903927088,96,,6
AR00016,FortunateEffort,AR241010_134,GRASP_241010,BHET25,0.04071078437846154,0.008808823418803513,8,-0.03190196095965803,120,peak_at_start,6
AR00017,PerkyDesigner,AR241010_142,GRASP_241010,BHET12.5,,0.021799019625177607,120,,,peak_at_end,6
AR00017,PerkyDesigner,AR241010_142,GRASP_241010,BHET25,,0.014338235745526617,120,,,peak_at_end,6
AR00018,EminentWorld,AR241010_152,GRASP_241010,BHET12.5,0.0025955885648727417,0.1655036760494113,96,0.16290808748453856,120,single_degradation_point,6
AR00018,EminentWorld,AR241010_152,GRASP_241010,BHET25,0.0086740180850029,0.17221446055918932,96,0.16354044247418642,120,single_degradation_point,6
AR00019,InconsequentialMedium,AR241010_154,GRASP_241010,BHET12.5,,0.023901960463263094,120,,,peak_at_end,6
AR00019,InconsequentialMedium,AR241010_154,GRASP_241010,BHET25,0.0029705883061978966,0.012808823346858844,96,0.009838235040660948,120,single_degradation_point,6
AR00020,Short-termSimple,AR241010_169,GRASP_241010,BHET12.5,,0.05106494989013299,120,,,peak_at_end,6
AR00020,Short-termSimple,AR241010_169,GRASP_241010,BHET25,0.00816176406442537,0.04668995088650263,96,0.03852818682207726,120,single_degradation_point,6
AR00021,DearClerk,AR241010_173,GRASP_241010,BHET12.5,0.015236519255267922,-0.007361519761616364,8,-0.022598039016884286,72,peak_at_start,6
AR00021,DearClerk,AR241010_173,GRASP_241010,BHET25,0.05427818581847532,0.008352941013072268,8,-0.045925244805403054,72,peak_at_start,6
BSQ33_03270,KosherTheme,ASA57064.1,GenBank,BHET12.5,0.04461274540517479,-0.004372548894025385,8,-0.04898529429920018,72,peak_at_start,6
BSQ33_03270,KosherTheme,ASA57064.1,GenBank,BHET25,0.10334558915928937,0.007257352961460128,8,-0.09608823619782925,72,peak_at_start,6
CmCut,VagueSource,BAN42606.1,GenBank,BHET12.5,0.01780882163438946,-0.006156863062642515,8,-0.023965684697031975,72,peak_at_start,6
CmCut,VagueSource,BAN42606.1,GenBank,BHET25,0.07534803950693458,0.0160637249937281,8,-0.05928431451320648,120,peak_at_start,6
empty_well,ConstantGarbage,,,BHET12.5,0.056800490516980065,-0.011516666606257785,8,-0.06831715712323785,72,peak_at_start,6
empty_well,ConstantGarbage,,,BHET25,0.12901029369486422,0.0018299025173291739,8,-0.12718039117753505,120,peak_at_start,6
Erickson403,OutlyingInspector,RLU00646.1,GenBank,BHET12.5,0.021397058852016926,0.13221078552305698,72,0.11081372667104006,96,single_degradation_point,6
Erickson403,OutlyingInspector,RLU00646.1,GenBank,BHET25,0.007536763325333595,0.19609313644468784,96,0.18855637311935425,120,single_degradation_point,6
Erickson406,SomeWeb,ODU60407.1,GenBank,BHET12.5,0.011715686472598463,0.0032549017341807485,48,-0.008460784738417715,96,,6
Erickson406,SomeWeb,ODU60407.1,GenBank,BHET25,0.01935049043459003,0.01213970617391169,8,-0.007210784260678338,120,peak_at_start,6
EV,AdeptNegotiation,,,BHET12.5,0.0420110292834579,-0.0007561271704616956,8,-0.0427671564539196,96,peak_at_start,6
EV,AdeptNegotiation,,,BHET25,0.06828860275686566,0.004800857324653407,8,-0.06348774543221225,96,peak_at_start,6
FAST-PETase,MoistCut,WP_054022242.1_M1,manual design,BHET12.5,0.13361029353109188,0.038219771115109324,8,-0.09539052241598256,120,peak_at_start,6
FAST-PETase,MoistCut,WP_054022242.1_M1,manual design,BHET25,0.01972467266023159,0.17524428106844425,24,0.15551960840821266,120,,6
Hfor_PE-H,DampNegotiation,WP_090538641.1,GenBank,BHET12.5,0.013678921735845506,0.000774509971961379,48,-0.012904411763884127,96,,6
Hfor_PE-H,DampNegotiation,WP_090538641.1,GenBank,BHET25,0.041715687373653054,0.011122549185529351,8,-0.030593138188123703,120,peak_at_start,6
IsPETase,MiniaturePackage,WP_054022242.1,GenBank,BHET12.5,0.0825620924733812,0.049350490347327046,24,-0.03321160212605415,120,,6
IsPETase,MiniaturePackage,WP_054022242.1,GenBank,BHET25,0.008526958369960397,0.14729493328680596,24,0.13876797491684556,120,,6
IsPETase_2,CelebratedSeason,WP_054022242.1,GenBank,BHET12.5,0.02057352951487701,0.04741176469360653,72,0.02683823517872952,96,single_degradation_point,6
IsPETase_2,CelebratedSeason,WP_054022242.1,GenBank,BHET25,0.008468135827570222,0.11136764717230108,72,0.10289951134473085,120,,6
LCC,SparseNeat,G9BY57.1,GenBank,BHET12.5,0.02913235322739638,-0.005313725443556905,8,-0.034446078670953284,72,peak_at_start,6
LCC,SparseNeat,G9BY57.1,GenBank,BHET25,0.07124019202819909,0.002799015706841601,8,-0.06844117632135749,120,peak_at_start,6
LCC(WCCG),IntentAge,G9BY57.1_M1,manual design,BHET12.5,0.05481862719170749,-0.004892156925052404,8,-0.059710784116759896,72,peak_at_start,6
LCC(WCCG),IntentAge,G9BY57.1_M1,manual design,BHET25,0.11950735291247838,0.0022058823124098126,8,-0.11730147060006857,120,peak_at_start,6
LG00001,DualPlan,DRR016455_58,Logan 1.0,BHET12.5,0.017823528847657144,-0.0005539217381738126,24,-0.018377450585830957,96,,6
LG00001,DualPlan,DRR016455_58,Logan 1.0,BHET25,0.04444117704406381,0.010813725646585226,8,-0.03362745139747858,120,peak_at_start,6
LG00002,NegligibleGirl,DRR046399_6024,Logan 1.0,BHET12.5,0.02158333291299641,-0.0031323529547080398,48,-0.02471568586770445,96,,6
LG00002,NegligibleGirl,DRR046399_6024,Logan 1.0,BHET25,0.0451519606722286,0.007705882293521427,8,-0.03744607837870717,120,peak_at_start,6
LG00003,VainBrief,DRR056885_121,Logan 1.0,BHET12.5,,0.027161765145137906,120,,,peak_at_end,6
LG00003,VainBrief,DRR056885_121,Logan 1.0,BHET25,,0.03371568651346024,120,,,peak_at_end,6
LG00004,TimelyFeedback,DRR322242_2006,Logan 1.0,BHET12.5,,0.008078431364992866,120,,,peak_at_end,6
LG00004,TimelyFeedback,DRR322242_2006,Logan 1.0,BHET25,0.02192892163293436,0.009237745136488229,8,-0.012691176496446133,48,peak_at_start,6
LG00005,ScaryCare,DRR378781_602206,Logan 1.0,BHET12.5,0.010573529521934688,0.0006666667759418488,48,-0.00990686274599284,96,,6
LG00005,ScaryCare,DRR378781_602206,Logan 1.0,BHET25,0.040818627167027444,0.010740195924881846,8,-0.030078431242145598,120,peak_at_start,6
LG00006,MonstrousConference,DRR509554_23646,Logan 1.0,BHET12.5,0.00913725484861061,0.003691176447318867,72,-0.005446078401291743,96,single_degradation_point,6
LG00006,MonstrousConference,DRR509554_23646,Logan 1.0,BHET25,0.02554901986150071,0.01147058856440708,8,-0.01407843129709363,120,peak_at_start,6
LG00007,WatchfulProfit,ERR10087380_58920,Logan 1.0,BHET12.5,0.007730392171652056,0.008624999958556145,72,0.0008946077869040892,96,single_degradation_point,6
LG00007,WatchfulProfit,ERR10087380_58920,Logan 1.0,BHET25,0.011019607756679761,0.011887254717294127,8,0.0008676469606143655,48,peak_at_start,6
LG00008,Quick-wittedTest,ERR10123727_166025,Logan 1.0,BHET12.5,0.016544117592275143,0.0007303920574486256,48,-0.015813725534826517,96,,6
LG00008,Quick-wittedTest,ERR10123727_166025,Logan 1.0,BHET25,0.04352941131219268,0.011303921462967992,8,-0.03222548984922469,120,peak_at_start,6
LG00009,AnchoredRaise,ERR10482439_252531,Logan 1.0,BHET12.5,0.02033578499685973,-0.0008161759469658136,48,-0.021151960943825543,96,,6
LG00009,AnchoredRaise,ERR10482439_252531,Logan 1.0,BHET25,0.046512255183188245,0.010588235425530002,8,-0.03592401975765824,120,peak_at_start,6
LG00010,EagerTouch,ERR10482440_903875,Logan 1.0,BHET12.5,0.022531863301992416,-0.003330882522277534,48,-0.02586274582426995,96,,6
LG00010,EagerTouch,ERR10482440_903875,Logan 1.0,BHET25,0.04673284348245943,0.007512255200708751,8,-0.03922058828175068,120,peak_at_start,6
LG00011,LazyPriority,ERR10640994_177560,Logan 1.0,BHET12.5,0.01847058831481263,-0.0031519607291556895,8,-0.02162254904396832,96,peak_at_start,6
LG00011,LazyPriority,ERR10640994_177560,Logan 1.0,BHET25,0.03981617885528976,0.0047181393101709546,8,-0.03509803954511881,96,peak_at_start,6
LG00012,KnownPolice,ERR10640994_226214,Logan 1.0,BHET12.5,0.014651961217168719,-0.0030147054931148887,48,-0.017666666710283607,96,,6
LG00012,KnownPolice,ERR10640994_226214,Logan 1.0,BHET25,0.045776960760122165,0.009296568896388635,8,-0.03648039186373353,120,peak_at_start,6
LG00013,MisguidedSpray,ERR10640994_379232,Logan 1.0,BHET12.5,0.01420588226756081,-0.00007843156345188618,48,-0.014284313831012696,96,,6
LG00013,MisguidedSpray,ERR10640994_379232,Logan 1.0,BHET25,0.04611519630998373,0.011615195777267218,8,-0.03450000053271651,120,peak_at_start,6
LG00014,CruelPositive,ERR10641118_142160,Logan 1.0,BHET12.5,0.014708333241287619,0.0010710782371461391,48,-0.01363725500414148,96,,6
LG00014,CruelPositive,ERR10641118_142160,Logan 1.0,BHET25,0.045615195704158396,0.01225490210345015,8,-0.033360293600708246,120,peak_at_start,6
LG00015,CourteousTrip,ERR10641118_502282,Logan 1.0,BHET12.5,0.015838235442060977,0.0008235292043536901,48,-0.015014706237707287,96,,6
LG00015,CourteousTrip,ERR10641118_502282,Logan 1.0,BHET25,0.043384804273955524,0.012061274726875126,8,-0.0313235295470804,120,peak_at_start,6
LG00016,RevolvingSale,ERR10789850_92482,Logan 1.0,BHET12.5,0.01983088196720928,0.001056372420862317,48,-0.018774509546346962,96,,6
LG00016,RevolvingSale,ERR10789850_92482,Logan 1.0,BHET25,0.04706372553482652,0.011524509638547897,8,-0.03553921589627862,120,peak_at_start,6
LG00017,WebbedContext,ERR10822306_273555,Logan 1.0,BHET12.5,0.02044117683544755,-0.0006764703430235386,48,-0.02111764717847109,96,,6
LG00017,WebbedContext,ERR10822306_273555,Logan 1.0,BHET25,0.04871078397263773,0.010705882246838883,8,-0.038004901725798845,120,peak_at_start,6
LG00018,PeacefulHit,ERR11028298_3008807,Logan 1.0,BHET12.5,0.027649509922412108,-0.00903676459165581,8,-0.03668627451406792,72,peak_at_start,6
LG00018,PeacefulHit,ERR11028298_3008807,Logan 1.0,BHET25,0.08160294046683703,0.0049950980028370395,8,-0.07660784246399999,120,peak_at_start,6
LG00019,HilariousEstimate,ERR11028393_217052,Logan 1.0,BHET12.5,0.023485293495468795,-0.001299019786529243,8,-0.02478431328199804,96,peak_at_start,6
LG00019,HilariousEstimate,ERR11028393_217052,Logan 1.0,BHET25,0.04485784048210917,0.006274507809393981,8,-0.03858333267271519,120,peak_at_start,6
LG00020,UncomfortableClick,ERR11484209_22782,Logan 1.0,BHET12.5,0.018691176432184875,0.00021568627562373877,8,-0.018475490156561136,96,peak_at_start,6
LG00020,UncomfortableClick,ERR11484209_22782,Logan 1.0,BHET25,0.04598284300300293,0.009703431482193992,8,-0.036279411520808935,120,peak_at_start,6
LG00021,AgedFinding,ERR12115642_305438,Logan 1.0,BHET12.5,0.014323529321700335,-0.00040196074405685067,8,-0.014725490065757185,96,peak_at_start,6
LG00021,AgedFinding,ERR12115642_305438,Logan 1.0,BHET25,0.046431372582446784,0.012470588262658566,8,-0.03396078431978822,120,peak_at_start,6
LG00022,AptTraffic,ERR1346831_178792,Logan 1.0,BHET12.5,0.014176470842357958,0.00044117681682109833,48,-0.01373529402553686,96,,6
LG00022,AptTraffic,ERR1346831_178792,Logan 1.0,BHET25,0.04535049042897299,0.013120098097715527,8,-0.03223039233125746,120,peak_at_start,6
LG00023,MiniatureGuidance,ERR1579315_76907,Logan 1.0,BHET12.5,0.015426470403326675,0.0008333332370966673,48,-0.014593137166230008,96,,6
LG00023,MiniatureGuidance,ERR1579315_76907,Logan 1.0,BHET25,0.04445097973803058,0.012688725313637406,8,-0.03176225442439318,120,peak_at_start,6
LG00024,GrouchyTax,ERR2241851_78442,Logan 1.0,BHET12.5,0.012264705495908856,0.0009166663512587547,48,-0.011348039144650102,96,,6
LG00024,GrouchyTax,ERR2241851_78442,Logan 1.0,BHET25,0.033649510180111974,0.012497549003455788,8,-0.021151961176656187,120,peak_at_start,6
LG00025,DopeyTree,ERR2598794_43297,Logan 1.0,BHET12.5,0.018720588355790824,-0.00002941163256764412,48,-0.018749999988358468,96,,6
LG00025,DopeyTree,ERR2598794_43297,Logan 1.0,BHET25,0.04552451029303484,0.010946078662527725,8,-0.03457843163050711,120,peak_at_start,6
LG00026,ThreadbareDriver,ERR2752155_114826,Logan 1.0,BHET12.5,,0.03428431390784681,120,,,peak_at_end,6
LG00026,ThreadbareDriver,ERR2752155_114826,Logan 1.0,BHET25,0.024522058723960072,0.02208333322778344,8,-0.0024387254961766303,96,peak_at_start,6
LG00027,ShabbyConversation,ERR2762187_7288,Logan 1.0,BHET12.5,0.02162499987753108,-0.003149509837385267,8,-0.02477450971491635,96,peak_at_start,6
LG00027,ShabbyConversation,ERR2762187_7288,Logan 1.0,BHET25,0.04586764641862828,0.007681372415390797,8,-0.038186274003237486,96,peak_at_start,6
LG00028,DiligentManager,ERR2900754_66884,Logan 1.0,BHET12.5,0.014061274472624063,-0.0006960784667171538,8,-0.014757352939341217,96,peak_at_start,6
LG00028,DiligentManager,ERR2900754_66884,Logan 1.0,BHET25,0.03130882355617359,0.010828431288246065,8,-0.020480392267927527,120,peak_at_start,6
LG00029,DualCourage,ERR3305565_5448,Logan 1.0,BHET12.5,0.013504901635315036,0.0026323527708882466,8,-0.01087254886442679,96,peak_at_start,6
LG00029,DualCourage,ERR3305565_5448,Logan 1.0,BHET25,0.030078431707806885,0.013014706084504724,8,-0.01706372562330216,120,peak_at_start,6
