gene_id,nickname,accession,source,substrate,timepoint_hours,average_intensity,stddev_intensity,sample_count
AdCut,TragicAttitude,WP_058088494.1,GenBank,BHET12.5,8,-0.005688725505024195,0.012096863455544303,8
AdCut,TragicAttitude,WP_058088494.1,GenBank,BHET12.5,24,-0.0036323509075373295,0.003080079486715713,8
AdCut,TragicAttitude,WP_058088494.1,GenBank,BHET12.5,48,0.004063725238665938,0.021105326172179143,8
AdCut,TragicAttitude,WP_058088494.1,GenBank,BHET12.5,72,0.008745094075493398,0.009013618070815247,8
AdCut,TragicAttitude,WP_058088494.1,GenBank,BHET12.5,96,0.004397059306029405,0.019747674637810995,8
AdCut,TragicAttitude,WP_058088494.1,GenBank,BHET12.5,120,0.012642157016671263,0.01637480430160577,8
AdCut,TragicAttitude,WP_058088494.1,GenBank,BHET25,8,0.011617647134698927,0.005693157194500906,8
AdCut,TragicAttitude,WP_058088494.1,GenBank,BHET25,24,-0.005997548869345337,0.013496726754154436,8
AdCut,TragicAttitude,WP_058088494.1,GenBank,BHET25,48,-0.007872549031162634,0.004714546244644395,8
AdCut,TragicAttitude,WP_058088494.1,GenBank,BHET25,72,-0.0020784315274795517,0.022819765509386667,8
AdCut,TragicAttitude,WP_058088494.1,GenBank,BHET25,96,0.002754902292508632,0.028938972915703236,8
AdCut,TragicAttitude,WP_058088494.1,GenBank,BHET25,120,-0.0033039215486496687,0.02771873204909841,8
AR00001,UnimportantConsist,AR241010_8,GRASP_241010,BHET12.5,8,0.001830882509239018,0.017707760622266457,8
AR00001,UnimportantConsist,AR241010_8,GRASP_241010,BHET12.5,24,0.05759313772432506,0.03796959155611118,8
AR00001,UnimportantConsist,AR241010_8,GRASP_241010,BHET12.5,48,0.08350490313023329,0.02264894223094733,8
AR00001,UnimportantConsist,AR241010_8,GRASP_241010,BHET12.5,72,0.1163480393588543,0.06017273638756135,8
AR00001,UnimportantConsist,AR241010_8,GRASP_241010,BHET12.5,96,0.11818137252703309,0.06783571820371628,8
AR00001,UnimportantConsist,AR241010_8,GRASP_241010,BHET12.5,120,0.1203553918749094,0.06526802302816742,8
AR00001,UnimportantConsist,AR241010_8,GRASP_241010,BHET25,8,0.020970588317140937,0.0024263526203068763,8
AR00001,UnimportantConsist,AR241010_8,GRASP_241010,BHET25,24,0.06616176478564739,0.04373202162281462,8
AR00001,UnimportantConsist,AR241010_8,GRASP_241010,BHET25,48,0.0908284317702055,0.05139525817736294,8
AR00001,UnimportantConsist,AR241010_8,GRASP_241010,BHET25,72,0.12856862973421812,0.07834482555413143,8
AR00001,UnimportantConsist,AR241010_8,GRASP_241010,BHET25,96,0.15142156928777695,0.06434196801528261,8
AR00001,UnimportantConsist,AR241010_8,GRASP_241010,BHET25,120,0.12048039445653558,0.0723825471593617,8
AR00002,UntimelyInevitable,AR241010_11,GRASP_241010,BHET12.5,8,0.0003774510696530342,0.012013282864004545,8
AR00002,UntimelyInevitable,AR241010_11,GRASP_241010,BHET12.5,24,0.031541666481643915,0.01050411096391196,8
AR00002,UntimelyInevitable,AR241010_11,GRASP_241010,BHET12.5,48,0.04095098073594272,0.013677993277422244,8
AR00002,UntimelyInevitable,AR241010_11,GRASP_241010,BHET12.5,72,0.053764705546200275,0.0126778402085948,8
AR00002,UntimelyInevitable,AR241010_11,GRASP_241010,BHET12.5,96,0.051352940732613206,0.01943555657688817,8
AR00002,UntimelyInevitable,AR241010_11,GRASP_241010,BHET12.5,120,0.05477450927719474,0.015547590734098195,8
AR00002,UntimelyInevitable,AR241010_11,GRASP_241010,BHET25,8,0.01914460794068873,0.007257868517469505,8
AR00002,UntimelyInevitable,AR241010_11,GRASP_241010,BHET25,24,0.03999019647017121,0.0036350659013821476,8
AR00002,UntimelyInevitable,AR241010_11,GRASP_241010,BHET25,48,0.05964705906808376,0.013068183146100466,8
AR00002,UntimelyInevitable,AR241010_11,GRASP_241010,BHET25,72,0.08031862741336226,0.0269770243574586,8
AR00002,UntimelyInevitable,AR241010_11,GRASP_241010,BHET25,96,0.10122549068182707,0.018826176537066117,8
AR00002,UntimelyInevitable,AR241010_11,GRASP_241010,BHET25,120,0.08538725692778826,0.017820642642483196,8
AR00003,PleasingReference,AR241010_12,GRASP_241010,BHET12.5,8,0.010215686343144625,0.018341002502448224,8
AR00003,PleasingReference,AR241010_12,GRASP_241010,BHET12.5,24,0.054730392061173916,0.025569735262377248,8
AR00003,PleasingReference,AR241010_12,GRASP_241010,BHET12.5,48,0.08120588213205338,0.011065512776559035,8
AR00003,PleasingReference,AR241010_12,GRASP_241010,BHET12.5,72,0.09903921373188496,0.03158715101677723,8
AR00003,PleasingReference,AR241010_12,GRASP_241010,BHET12.5,96,0.09488725522533059,0.036102282962303466,8
